"","Departamento","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1",2,4,5,3,1,5,2,3,5,4,2
"2",3,4,5,0,2,2,1,5,1,3,3
"3",6,5,4,2,5,3,2,5,4,1,5
"4",6,1,4,1,3,4,5,3,2,1,5
"5",2,3,1,2,0,2,3,3,4,4,1
"6",6,4,5,2,4,1,2,3,2,2,5
"7",4,1,0,4,2,4,3,2,4,5,5
"8",2,2,1,4,0,4,4,4,0,4,2
"9",3,0,2,5,4,4,3,1,1,1,4
"10",6,0,1,0,5,0,5,3,5,3,3
"11",4,3,1,0,0,1,4,5,3,2,2
"12",6,2,4,2,0,2,4,0,4,2,2
"13",2,2,4,1,3,2,5,1,5,5,1
"14",2,3,0,4,1,0,5,2,1,4,0
"15",5,1,5,4,4,0,2,2,4,3,3
"16",3,2,5,4,1,3,4,0,1,0,2
"17",6,0,2,5,2,3,5,4,3,0,4
"18",3,2,4,5,3,0,4,1,2,1,3
"19",2,2,0,2,5,3,3,2,5,0,2
"20",2,1,5,4,4,3,5,5,3,3,1
"21",2,0,2,2,4,0,1,4,4,1,1
"22",4,4,5,4,1,1,1,4,2,2,2
"23",1,4,4,2,4,4,0,4,4,4,0
"24",5,4,2,0,0,0,5,5,4,2,5
"25",2,3,2,1,5,2,5,4,4,4,5
